Name	Set	Image	Type	Attributes	Languages	Value	Sanity	Summon	Unique	Dimension	Past	Region	City	Beginning Sanity	Max Sanity	Education	Hand Size	Minuimum	Maximum	Rarity	Text
Peaks of Thok	Dreamlands	DL524	Location	"Outside, Artifact, Gate, Country, Lair, Underground, "						Dreamlands		The Underworld	The Wildlands							U	You may use this Gate to Summon one Nightgaunt and immediately attack with it. Opponent may defend with Allies but not use Spells or Artifacts. 
Plateau of Leng 	Dreamlands	DL525	Location	"Cemetery, Outside, Gate, Country, Site, "						Dreamlands		The North	The North							C	You may use this Gate more than once. You must spend 1 point of Sanity for each subsequent use unless there is a Star Event in play. 
Processional Boulevard 	Dreamlands	DL526	Location	"Water, Outside, Gate, City, Site, "						Dreamlands		The East	Rinar							R	All Priest Allies add 1 point to their value while this is your Current Location. 
Rope & Anchor Tavern	Dreamlands	DL527	Location	"Water, Inside, Business, City, "								Lovecraft	Kingsport							U	For each Turn that you remain here you may Bury one Phobia affecting your Investigator 
Sarkomand 	Dreamlands	DL528	Location	"Cemetery, Outside, Artifact, Gate, Country, Ruins, "						Dreamlands		The North	The North							C	On a following Turn you may play The Great Abyss right-side-up on top of your Story Deck. Add 1 point to the value of each Man of Leng while this is your Current Location 
Serranian 	Dreamlands	DL529	Location	"Outside, Artifact, Tome, Island, Palace, "			1			Dreamlands		The East	Celephais							C	You must Travel by Air to play this Location and Travel by Air to leave it. You may remain here for an additional Turn and bury all Phobias affecting your Investigator 
Splendid Cathuria 	Dreamlands	DL530	Location	"Forest, Water, Outside, Artifact, Tome, Country, Site, "			-2			Dreamlands		Exotic								U	You must have the Basalt Pillars of the West to play this card. Spend a Turn in Splendid Cathuria to gain 1 Sanity point. You must play a Waking World Location right-side-up on top of your Story Deck as your next Location. 
Street of Tears 	Dreamlands	DL531	Location	"Water, Outside, Gate, City, Site, "			-1			Dreamlands		The West	Dylath-Leen							C	"During Combat, add 1 point to each of your Directed Threats "
Temple of the Elder Ones 	Dreamlands	DL532	Location	"Forest, Inside, City, Temple, "			6		Unique	Dreamlands		The West	Ulthar							C	"Reveal the top card of your Mythos Deck. If card revealed is a Monster, it attacks you immediately (Allies may defend), then Discard it. Discard any other card drawn. For each additional Turn that you remain here you may Bury one Phobia affecting your Investigator. "
Temple of the Great Ones 	Dreamlands	DL533	Location	"Water, Inside, City, Temple, "			5		Unique	Dreamlands		The East	Rinar							C	"Set aside this card and shuffle your Story Deck. Randomly Discard one Story Deck card, then replace this card. For each additional Turn that you remain here you may Bury one Phobia affecting your Investigator. "
The Bridge over the River Skai	Dreamlands	DL534	Location	"Cemetery, Water, Outside, Gate, City, Site, "						Dreamlands		The West	Ulthar							R	
The Causeway and Father Neptune	Dreamlands	DL535	Location	"Water, Outside, City, Site, "			1					Lovecraft	Kingsport							R	"During combat, bury any Monster directed at your Investigator whose value increases at Locations featuring the Water attribute "
The Cliffs Of Glass	Dreamlands	DL536	Location	"Gate, Water, Country, Port"						Dreamlands		The East	Iiek-Vad								
The Enchanted Stone	Dreamlands	DL537	Location	"Forest, Outside, Country, Site, "			1			Dreamlands		The West	Oukranos Wilds							C	: On a following turn you may play Tower of Koth right-side-up on top of your Story Deck. 
The Enchanted Wood	Dreamlands	DL538	Location	"Forest, Outside, Gate, Country, Site, "			1			Dreamlands		The West	Oukranos Wilds							C	All Chief Allies add 2 points to their value while this is your Current Location. 
The Great Bazaar	Dreamlands	DL539	Location	"Water, Outside, Business, City, "						Dreamlands		The East	Celephais							C	You may join two Artifacts each Turn at The Great Bazaar 
The Harbor of Celephais	Dreamlands	DL540	Location	"Water, Outside, Artifact, Gate, City, Port, "			-1			Dreamlands		The East	Celephais							C	Spend 2 Sanity points to recover one Artifact from your Story Deck and bring it into play. Ignore Sanity gain/loss for playing Weapons. 
The Market-Place	Dreamlands	DL541	Location	"Forest, Outside, Artifact, Business, City, "						Dreamlands		The West	Ulthar							C	All Merchant Allies add 1 point to their value while this is your Current Location 
The Nameless Lake	Dreamlands	DL542	Location	"Forest, Water, Outside, Gate, Country, Site, "						Dreamlands		The West	Mnar							R	"When this becomes your Current Location, each opponent reveals the top card of his or her Mythos Deck; you add or subract the Sanity cost for every card revealed. Discard revealed cards"
The Onyx Temple	Dreamlands	DL543	Location	"Water, Inside, City, Temple, "			5		Unique	Dreamlands		The West	Dylath-Leen							U	Make an appropriate sacrifice! Discard 1 random card from your hand. Remain here for one additional Turn and Discard 1 random card from your hand for each Phobia affecting your Investigator you wish to Bury
The Opal Throne	Dreamlands	DL544	Location	"Water, Inside, Artifact, City, Palace, "			1			Dreamlands		The East	Iiek-Vad							C	
The Palace of Seventy Delights	Dreamlands	DL545	Location	"Water, Inside, City, Palace, "						Dreamlands		The East	Celephais							R	For each Turn that you remain here you may Bury one Phobia affecting your Investigator 
The Ruins of Ib	Dreamlands	DL546	Location	"Cemetery, Forest, Water, Outside, Artifact, Gate, Country, Ruins, "						Dreamlands		The West	Mnar							C	Add 1 point to the value of each Being of Ib or Ghost-Being of Ib while this is your Current Location. 
The Ruins of Sarnath	Dreamlands	DL547	Location	"Cemetery, Forest, Water, Outside, Artifact, Tome, Gate, Country, Ruins, "			-1			Dreamlands		The West	Mnar							C	
The Snake-Den	Dreamlands	DL548	Location	"Forest, Inside, Gate, Country, Site, Underground, "								Lovecraft	Miskatonic Valley							C	You may use this gate to play Dreamlands Monsters to your Threat 
The Strange High House in the Mist	Dreamlands	DL549	Location	"Water, Inside, Tome, Gate, Country, House, "								Lovecraft	Kingsport							C	You may use this gate to play Dreamlands Monsters to your Threat 
The Street of Pillars	Dreamlands	DL550	Location	"Water, Outside, Gate, City, Site, "						Dreamlands		The East	Celephais							C	All Priest Allies add 1 point to their value while this is your Current Location. 
The Tall Lighthouse	Dreamlands	DL551	Location	"Water, Inside, Tome, City, Lighthouse, "						Dreamlands		The West	Dylath-Leen							R	You may play this card immediately after playing a Travel by Sea Event 
The Temple of Bokrug	Dreamlands	DL552	Location	"Forest, Water, Outside, Country, Ruins, Temple, "			5		Unique	Dreamlands		The West	Mnar							U	Gain 5 Sanity. You must either Bury a Steadfast Ally or remain at this Location for an additional Turn to perform appropriate rites. For each additional Turn that you remain here you may Bury one Phobia affecting your Investigator 
The Temple of Loveliness at Kiran	Dreamlands	DL553	Location	"Forest, Inside, Tome, Country, Temple, "			4		Unique	Dreamlands		The West	Oukranos Wilds							U	"Gain 4 Sanity points, but reveal the top card of your Mythos Deck. Apply any Sanity gain or loss indicated in the pentagram on the card, then Discard it. During each additional Turn that you remain here you may bury one Phobia affecting your Investigator. "
The Turquoise Temple of Nath-Horthath 	Dreamlands	DL554	Location	"Water, Inside, City, Temple, "			5		Unique	Dreamlands		The East	Celephais							U	Gain 5 Sanity. You must either Bury a Corrupt Ally or remain here for an additional Turn in abject contemplation. For each additional Turn that you remain here you may Bury one Phobia affecting your Investigator 
The White Whale Inn	Dreamlands	DL555	Location	"Outside, Business, City, "						Dreamlands		The West	Ulthar							C	For each turn that you remain here you may bury one phobia affecting your investigator.
Tower of Koth 	Dreamlands	DL556	Location	"Inside, Tome, City, Site, Underground, "						Dreamlands		The Underworld	Gug City							C	On a following Turn you may play The Enchanted Stone right-side-up on top of your Story Deck. 
Vale of Pnoth 	Dreamlands	DL557	Location	"Cemetery, Outside, Gate, Country, Lair, Underground, "						Dreamlands		The Underworld	The Wildlands							R	You may use this Gate to Summon one Dhole and immediately attack with it. Opponent may defend with Allies but not use Spells or Artifacts. 
Vaults of Zin 	Dreamlands	DL558	Location	"Cemetery, Inside, Gate, City, Lair, Underground, "						Dreamlands		The Underworld	Gug City							C	You may use this Gate to Summon one Ghast and immediately attack with it. Opponent may defend with Allies but not use Spells or Artifacts. 
Basilisk	Dreamlands	DL701	Monster	Lesser Independent		2	-1													R	" When revealed, Flip all of opponent's Defending Allies whose current value is an odd number."
Being of Ib	Dreamlands	DL702	Monster	Lesser Servitor		1			Unique	Dreamlands										C	"When revealed, +1 Value for each Ally opponent has committed to defend against it. Joins Beings of Ib."
Bokrug	Dreamlands	DL703	Monster	Great Old One		GOO		"Ruins, Storm"												C	All Locations feature the Water attribute. Do not Bury Storm Events. Investigators may not gain Sanity unless they are in Mnar.
Buopoth	Dreamlands	DL704	Monster	Lesser Independent					Unique	Dreamlands										C	Monsters opposing do not Bypass. Joins with all Monsters.
Cat from Saturn	Dreamlands	DL705	Monster	Greater Independent		3	-1		Unique	Dreamlands										C	Bypasser. Cannot be Summoned or Controlled. Joins Cats from Saturn.
Chorazin	Dreamlands	DL706	Monster	Great Old One		GOO		"Dreamlands Site, Lunar Eclipse"												R	"[Dreamlands Site, Lunar Eclipse] All Phobias affect only the Investigator who played them. Investigators may not gain Sanity."
Dhole  (v1)	Dreamlands	DL707	Monster	Greater Independent		4	-1		Unique											R	"When revealed, if opponent's Current Location is Underground, you may Bury this card and cause opponent to Bury his Current Location (Ignore revealed Sanity gain/loss). Joins Dholes. UNIQUE"
Fireworm of Parg	Dreamlands	DL708	Monster	Greater Independent		5	-2			Dreamlands										U	All Monsters in the same Directed Threat function as if it is Day.
Ghasts (v1)	Dreamlands	DL709	Monster	Lesser Independent		2														C	"-1 Value if it is Day. When revealed, +2 Value if opposing Gugs. Joins Ghasts."
Ghoul (v2)	Dreamlands	DL710	Monster	Lesser Independent		2														C	+1 Value if you or your opponent is in an Underground Location. Joins Ghouls.
Gnor	Dreamlands	DL711	Monster	Lesser Independent		2				Dreamlands										C	+2 Value if you or your opponent is in an Underwater Location. Joins Gnor.
Gug	Dreamlands	DL712	Monster	Lesser Independent		3	-1			Dreamlands										C	+1 Value if opposing Ghouls or Ghasts. +1 Value if you or your opponent is Underground. Joins Gugs.
Leng Spider	Dreamlands	DL713	Monster	Lesser Independent		4	-2													R	"When revealed, Bury one random Lesser Monster in the Directed Threat which it opposes."
Lesser Shantak	Dreamlands	DL714	Monster	Lesser Servitor		2														C	"When revealed, -1 Value if opposing Nightgaunts. Joins Lesser Shantaks and Corrupt Cultists."
Man of Leng	Dreamlands	DL715	Monster	Lesser Independent		1														U	Joins with any Lesser Independent
Minion of Karakal	Dreamlands	DL716	Monster	Greater Servitor		3	-1	Invisible 												U	Randomly choose one of your opponent's Artifacts to Bury for each Minion of Karakal that survives the Cosmic Battle.
Moon-Beast	Dreamlands	DL717	Monster	Lesser Independent		2				Dreamlands										C	"Add 1 point to the value of this card if it is Night. Add 2 points to the value of this card if the Current Location of you or your opponent features the Space attribute, or if the Lunar Eclipse or Full Moon is in play."
Nightgaunts (v2)	Dreamlands	DL718	Monster	Lesser Servitor		2														C	"If Summoned, use Nightgaunts as a Travel by Air Event; immediately play a new Location right-side-up in any region. Joins Nightgaunts."
Nodens	Dreamlands	DL719	Monster	Outer God		OG		"Underground Location, Star"												U	No Monsters are Invisible. No Monsters Bypass Combat. No Investigator may gain Sanity.
Shantaks (v2)	Dreamlands	DL720	Monster	Lesser Servitor		3														C	"When revealed, Bury this card if opposing Nightgaunts. If summoned, use Shantaks as a Travel by Air Event and immediately play a new Location in any Region including Space."
Tcho-Tcho People	Dreamlands	DL721	Monster	Lesser Servitor		1														U	Joins with any Lesser Servitor.
Voonith	Dreamlands	DL722	Monster	Lesser Independent		2				Dreamlands										U	When Voonith is revealed you may declare that it is in hibernation: set it aside. It does not participate in Combat this round. Begin the next round with the hibernating Voonith in your Threat. Joins Voonith.
Anathema	Dreamlands	DL801	Spell	Dream			-1													U	Choose a Spell in target Tome and flip it face down.
Barrier of Seol Seril	Dreamlands	DL802	Spell	Eye			-1													C	This Spell may be cast during Combat only. No Monsters in any Threat Bypass Combat.
Channel Prophecy	Dreamlands	DL803	Spell	Dream			-1													U	Take a 13-second glance at a numbe of cards on top of your Mythos Deck equal to your Investigators current Maximum
Command Lamp-Eft	Dreamlands	DL804	Spell	Dream			-1													C	"It is now Day; put this card in Event area. Bury any Day or Night Event in play. Night Events may not be played. Once cast, Bury this card if any Day Event is played."
Concentric Rings of the Worm	Dreamlands	DL805	Spell	Folk			-2													C	This Spell may be cast during Combat only. Bury one random Monster card chosen from any one Directed Threat attacking your Investigator.
Crystal World	Dreamlands	DL806	Spell	Eye			-1													R	"Your Investigator is able to Breathe Underwater for the remainder of the round. If a Star Event is in play, your Investigator is also able to survive in Space."
Deflection	Dreamlands	DL807	Spell	Dream			-3													U	"This Spell may be cast during Combat only. Target Defending Ally becomes your Defending Ally for the remainder of Combat. Return Ally to opponent or Bury Ally in opponent's Story Deck, as appropriate, at the end of Combat"
Dream Sending of Glaaki	Dreamlands	DL808	Spell	Yellow Sign			-2													R	"Cancel a Spell just cast on you and choose a new appropriate target, as if you are casting the same Spell."
Embody Charnal Odor of Xura	Dreamlands	DL809	Spell	Dream			-1													C	Summon or Control one Lesser Servitor Monster
Equilateral Screen	Dreamlands	DL810	Spell	Eye			-1													U	Take a 13-second glance at all cards in one opponent's Threat
Gate of Oneirology	Dreamlands	DL811	Spell	Folk			-1													C	If you are in the Waking World immediately play any Dreamlands Location as if walking. If you are in the Dreamlands immediately play any Waking World Location as if walking. You may not play Exotic Locations
Green Mist of Doom	Dreamlands	DL812	Spell	Dream			-2													C	"If it is Day, Bury opponent's Current Location. If it is Night, Discard opponent's Current Location."
Ironmind	Dreamlands	DL813	Spell	Dream			-1													R	Increase your maximum by three for the remainder of the Round. Not cumulative with other cards that raise your maximum
Lassitude of Phein	Dreamlands	DL814	Spell	Folk			-1													C	Flip a target Ally
Mysteries of Thalarion	Dreamlands	DL815	Spell	Water			-2													C	Summon or Control one Greater Independent Monster
Petition of Menes	Dreamlands	DL816	Spell	Dream			-2													C	Randomly Bury one of your opponent's Allies lacking the Dreamer attribute.
Ravening Madness	Dreamlands	DL817	Spell	Yellow Sign			-1													R	Cause opponent's Investigator to lose 1 point of Sanity
The Awful Doom of Cerrit	Dreamlands	DL818	Spell	Yellow Sign			-3													R	Discard a random Ally.
Throth's Stalwart	Dreamlands	DL819	Spell	Water			-2													R	"During Combat this round, target is Buried only if it takes its full card value in Sanity loss."
Vortex of Far Journeying	Dreamlands	DL820	Spell	Dream			-2													U	"Target opponent reveals the top card of his or her Mythos Deck. If it is a Location it immediately becomes his or her Current Location. If it is a Monster it attacks him or her (Allies may defend), then is Discarded. If it is some other kind of card, it is Discarded."
Whirligig	Dreamlands	DL821	Spell	Water			-1													R	"Flip all face-down cards you currently have in play face-up, except Spells"
Book of Beautiful Devices	Dreamlands	DL901	Tome	Dream	Hyperborean	2	-1			Dreamlands										C	You may find Dreamlands Artifacts in the Waking World
Cultus Maleficarum	Dreamlands	DL902	Tome	Yellow Sign	English	1	-1													R	
Monstres and Their Kynde	Dreamlands	DL903	Tome	"Eye, Folk"	English	1	-1													C	
Necronomicon Dreamlands Edition	Dreamlands	DL904	Tome	"Dream, Eye, Yellow Sign"	Glyphs	4	-3													U	This card may be found at an Exotic Location only. You may walk between the Waking World and the Dreamlands as if they were in the same Region.
Papyrus of Ilarnek	Dreamlands	DL905	Tome	"Dream, Water"	Glyphs	2	-1			Dreamlands										C	
Pnakotic Manuscripts	Dreamlands	DL906	Tome	"Folk, Water"	Atlantean or Hyperborean	2	-2													U	Bury this card to cancel the effects of an Event just played. Then Bury the Event.
Thaumaturgical Prodigies in the New English Canaan (v1)	Dreamlands	DL907	Tome	Folk	English	2	-1													U	
Thaumaturgical Prodigies in the New English Canaan (v2)	Dreamlands	DL908	Tome	Folk	English	1														C	
The Book of the Black Stones	Dreamlands	DL909	Tome	Dream	English	2	-2			Dreamlands										R	You may find Dreamlands Artifacts in the Waking World
The Voynich Manuscript	Dreamlands	DL910	Tome	"Eye, Yellow Sign"	Greek & Latin	3	-2													R	
