Name	Expansion	Image	Type	Attributes	       Languages	Value	Sanity	Summon	Unique	Dimension	Past	Region	City	Beginning Sanity	Max Sanity	Education	Hand Size	Minuimum	Maximum	Rarity	Text
Ghost of Captain Cutler	Scooby	Scooby708	Monster	"Living Dead, Corrupt Cultist"		1															Add 1 point to the vaue of this card if your opponent is in a Water Location
Ghost of Elias Kingston	Scooby	Scooby709	Monster	Living Dead 		1															When Directed Threat is revealed randomly choose one of your opponent's Allies (Defending ro not) and Flip cards face-Down.
Ghost of Injun Joe	Scooby	Scooby710	Monster	Living Dead		1															Add 1 point to this card's value if your opponent is in an Underground Location. Bury this card if it is currently Day.
Ghost of Zen Tuo	Scooby	Scooby711	Monster	Lesser Independent		2	-1														Each Ghost of Zen Tuo surviving to affect your oppoent's Allies or Investigator also steals one chosen Artifact. Your opponent must Bury the Card in his or her Story Deck. Joins Servants of Zen Tuo.
Ghost Shaman	Scooby	Scooby712	Monster	Living Dead		2															Add 1 point to the value of this card if your Investigator is in any Ruins Location or if any Night card is in play.
Headless Specter	Scooby	Scooby713	Monster	Living Dead		2															Add 1 point to the value of this card at Night. Joins other Living Dead.
Kelp Monster	Scooby	Scooby714	Monster	Lesser Independent		1															Add 1 point to the value of this card when attacking an Investigator who is at a Water Location. Add 2 points if target Inverstigator is currently using a Travel By Sea Event as their curreny Location.
Monster From The Future	Scooby	Scooby715	Monster	Lesser Independent		2				New Aeon											Increase the Value of this Monster by 2 points if Summoned. Joins any Monster From The Future.
Mummy (v2)	Scooby	Scooby716	Monster	Living Dead		1															Add 1 point to the value of this card if either you or your Opponent is in a Cemetary or Museum Location.
Servants Of Zen Tuo	Scooby	Scooby717	Monster	Lesser Servitor		1															Joins both Ghost of Zen Tuo and Servants of Zen Tuo.
Spooky Space Kook	Scooby	Scooby718	Monster	Lesser Independent		1				New Aeon											Add 1 point to the value of this card if your opponent is in a Country/Gate Location. Joins other Spooky Space Kooks.
The Black Knight	Scooby	Scooby719	Monster	Lesser Independent		1															Add 1 point to the value of this card at Night.
The Creeper	Scooby	Scooby720	Monster	Living dead		1															Add 1 point to the value of this card while your Current Location is a Cemetary.
The Wax Phantom	Scooby	Scooby721	Monster	Lesser Independent		2															
The Willawaw	Scooby	Scooby722	Monster	Lesser Independent		1															Add 2 points to the value of this card if your opponent is at an Outside Location.
The Witchdoctor	Scooby	Scooby723	Monster	Lesser Independent		1	-1														"For each Witchdoctor suvriving the Cosmic Battle, Bury a random Artifact of Target Investigator."
Zombie	Scooby	Scooby724	Monster	Living Dead		1															"If any Alies are lost in Combat involving a Zombie, begin next Round with one Zombie card face-down in your Threat. (forms a new threat). Joins Living Dead."
Command of Elias Kingston	Scooby	Scooby801	Spell	Eye			-1														Target Investigator must Flip random Ally. Spend 1 additional Sanity Point to cause Target Investigator to instead Bury Random Ally lacking the Corrupt Attribute.
Levitate	Scooby	Scooby802	Spell	Folk			-1														Travvel to any Location as if Walking. May not travel between Regions or Exotic Locations
Morbid Repose	Scooby	Scooby803	Spell	Death			-1														Randomly choose and Flip face-down half (round up) of Target Opponent's Allies as if suffering the effects of an Epidemic.
Crystalomancy	Scooby	Scooby901	Tome	"Eye, Death"	English	2	-1														"While this card is in play, all invisible Living Dead Monsters in a Directed Threat are visible."
Four Cryptical Books of Zen Tuo	Scooby	Scooby902	Tome	Folk	Chineese	1				New Aeon											
Necrononmicon Doo edition	Scooby	Scooby903	Tome	"Eye, Death,  Cthulhu, Yellow Sign"	Latin	2	-3			New Aeon											Spend 1 Sanity point to turn one Steadfast Ally to a Corrupt Ally. Spend 2 Sanity points to play an Ally card face-down as a Monster becoming part of your Threat.
Sea Myths & monsters	Scooby	Scooby904	Tome	"Eye, Cthulhu"	Latin	2	-2														"When this Tome is in play, increase the total value of your Threat by 1 point if your opponent is at a Location wth the Water attribute."
The Dynasty of Ankah	Scooby	Scooby905	Tome	Eye	Arabic	1	-1														May Immediately play Coin of Ankah with no Sanity Cost
The Old Bell	Scooby	Scooby906	Tome	"Water, Cthulhu"	English	2	-1														
Witchcraft Made Easy	Scooby	Scooby907	Tome	Death	English	2	-1			New Aeon											
