Name	Set	Image	Type	Attributes	Languages	Value	Sanity	Summon	Unique	Dimension	Region	City	Beginning Sanity	Max Sanity	Education	Hand Size	Minuimum	Maximum	Rarity	Text
Tempest Mountain 	Limited	Ltd537	Location	"Forest, Outside, Gate, Country, Site, "							Lovecraft	Catskills							C	
The Arkham Advertiser	Limited	Ltd538	Location	"Water, Inside, City, Press, "							Lovecraft	Arkham							C	All Reporters add 1 point to their card value when this card is your current Location on your Story Deck 
The House on Olney Court	Limited	Ltd539	Location	"Water, Inside, Artifact, Tome, Gate, City, House, "			-1				Lovecraft	Providence							R	
The Lonely House in the Woods	Limited	Ltd540	Location	"Forest, Inside, Tome, Country, House, "							Lovecraft	Miskatonic Valley							R	
The Lowell Street Cafe	Limited	Ltd541	Location	"Forest, Water, Inside, Business, City, "							Lovecraft	Arkham							C	You may remain here for one Turn and Bury one Phobia 
The Marsh Mansion	Limited	Ltd542	Location	"Forest, Water, Inside, Tome, Gate, City, House, "							Lovecraft	Innsmouth							R	All Marshes add 1 point to their card value when this card is your current Location 
The Shunned House	Limited	Ltd543	Location	"Forest, Water, Inside, Artifact, Gate, City, House, "							Lovecraft	Providence							R	
The Unnameable House	Limited	Ltd544	Location	"Forest, Water, Inside, Gate, City, House, "							Lovecraft	Arkham							U	
The Waite House	Limited	Ltd545	Location	"Water, Inside, Artifact, Tome, Gate, City, House, "							Lovecraft	Innsmouth							C	All Waites add 1 to their value when this card is your current Location
Thurston's Tavern 	Limited	Ltd546	Location	"Water, Inside, Business, City, "							Lovecraft	Providence							C	You may remain here for one Turn and Bury one Phobia 
Ward Mansion 	Limited	Ltd547	Location	"Water, Inside, Tome, City, House, "							Lovecraft	Providence							U	
Colour Out Of Space (v2)	Limited	Ltd701	Monster	Greater Independent		06-Apr	-2	Visible/Invisible		Any									C	" When revealed, decide if Visible (Value 6) or Invisible (Value 4). Remains thus for the remainder of Combat. Half Strength in Direct Sunlight."
Deep One (v2)	Limited	Ltd702	Monster	Lesser Servitor		1				Any									C	"+1 Value if your opponent is at a Water Location. +1 Value if you have Jewelry of the Deep Ones in play. Joins Mother Hydra, Father Dagon, Shoggoths."
Elder Things	Limited	Ltd703	Monster	Lesser Independent		2				Any									R	Bypasses all Monsters except for Shoggoths. +2 Value if you or your opponent is in a Water Location. Never Buried in your Story Deck; discard after Combat. Joins Elder Things.
Father Dagon	Limited	Ltd704	Monster	Greater Servitor		4	-1		Yes	Any									U	"+1 Value if you have Jewelry of the Deep Ones in play. Joins Mother Hydra, Deep Ones, Shoggoths. UNIQUE"
Fire Vampires	Limited	Ltd705	Monster	Lesser Servitor		3	-1	Invisible		Any									C	Invisible during the Day. +1 Value if your opponent is in a Forest Location. Joins Fire Vampires.
Flying Polyp	Limited	Ltd706	Monster	Greater Independent		5	-2			Any									R	+1 Value if there are any Invisible Monsters in opposing Threat. Bury if Direct Sunlight is in play when revealed.
Formless Spawn	Limited	Ltd707	Monster	Lesser Servitor		1				Any									C	+1 Value per each other Formless Spawn in Threat at time that Combat is resolved. Joins Formless Spawn.
Ghasts (v2)	Limited	Ltd708	Monster	Lesser Independent		3	-1			Any									C	Bury if Direct Sunlight is in play when revealed. Joins Ghasts.
Ghatanathoa	Limited	Ltd709	Monster	Great Old One		GOO		"Outside/Country/Gate, Drought"		Any									U	 Each Investigator Flips face down one random Ally at the start of each Turn. Investigators may not gain Sanity.
Ghoul (v1)	Limited	Ltd710	Monster	Lesser Independent		2				Any									C	+1 Value if opponent is in a Cemetery Location. Joins Ghouls.
Giant Albino Penguins	Limited	Ltd711	Monster	Lesser Independent		0	?			Any									C	"Choose Sanity Loss when playing this card, from 0 to -2 points. Joins with all Monsters."
Gnoph Keh	Limited	Ltd712	Monster	Greater Independent		5	-2		Yes	Any									R	Randomly choose and Bury one Defending Ally when Threat is revealed. UNIQUE
Goody Fowler's Ghost	Limited	Ltd713	Monster	Living Dead		3	-1	Invisible	Yes	Any									C	Invisible. Bypasser. Joins Living Dead. UNIQUE
Ithaqua	Limited	Ltd714	Monster	Great Old One		GOO		"Storm, Waning Moon"		Any									C	 Investigator loses 1 Sanity point when he plays a Travel card or alters a Location card's orientation. Investigators may not gain Sanity.
Martense Kin	Limited	Ltd715	Monster	Lesser Independent		2				Any									C	Add 2 points to the value of this card if your Investigator is in any Catskills Location or if any Night card is in play. Joins other Martense Kin
Mi-Go (v1)	Limited	Ltd716	Monster	Lesser Independent		2				Any									C	Each Mi-Go surviving to affect your opponent's Allies or Investigator also steals one chosen Artifact. Your opponent must Bury the card in his or her Story Deck. Joins Mi-Go
Mother Hydra	Limited	Ltd717	Monster	Greater Servitor		3	-1		Yes	Any									U	"Add one to the value of this card if your Investigator has the Jewelry of the Deep Ones. Joins Father Dagon, Deep Ones and Shoggoths"
Nightgaunts (v1)	Limited	Ltd718	Monster	Lesser Servitor		3	-1			Any									C	Each Nightgaunt surviving to affect your opponent's Allies or Investigator also carries off one random defending Ally. Discard such Allies. Joins other Nightgaunts
Nyarlathotep	Limited	Ltd719	Monster	Outer God		OG		"Outside/Gate Location, New Moon"		Any									R	Spells no longer cost Sanity points to cast while this card is in play. No Investigator may gain Sanity
Pack of Rat Things	Limited	Ltd720	Monster	Lesser Servitor		2				Any									C	Add 1 point to the value of this card if your opponent is in any Inside Location. Joins other Rat Things
Rhan Tegoth	Limited	Ltd721	Monster	Great Old One		GOO		"Forest/Cemetary Location, Waxing Moon"		Any									C	"No Allies are Buried or Discarded while this card is in play. Instead, they become Living Dead. Place two pennies on each Living Dead card. No Investigator may gain Sanity"
Serpent People (v1)	Limited	Ltd722	Monster	Lesser Independent		3	-1			Any									C	"Joins other Serpent People, and with Weapons"
Shantaks (v1)	Limited	Ltd723	Monster	Lesser Servitor		4	-1			Any									C	"Card value is 2 if Nightgaunts are part of your opponent's Threat. If Controlled, use Shantak as a Travel Card (Air or Water) to any Location including Space, except Underground"
Shoggoth	Limited	Ltd724	Monster	Lesser Servitor		6	-2		Yes	Any									U	"Add 2 points to the value of this card if your opponent's Threat includes Elder Things. Joins Deep Ones, Father Dagon & Mother Hydra"
Skeletons	Limited	Ltd725	Monster	Living Dead		1				Any									C	"Skeletons Bypass Combat with all cards in your opponent's Threat. Add 1 point to their value at Night, or if either you or your opponent is in a Cemetery. Joins other Living Dead"
Vampire	Limited	Ltd726	Monster	Living Dead		3	-1	Invisible 		Any									U	Add 1 to the value of this card at Night. Discard this card if Direct Sunlight is in play when it is revealed. Joins other Living Dead
Zombies (v1)	Limited	Ltd727	Monster	Living Dead		1		 		Any									C	"Bury if revealed when Dawn of a New Day is in play. Add 1 to the value of this card at Night, or if either you or opponent is in a Cemetery. Instead of Burying it, begin the next Round with one Zombie card in your Threat if Allies were lost in Combat. Joins other Living Dead"
Barrier of Naach-Tith	Limited	Ltd801	Spell	Water			-1												C	Reduce the value of Lesser or Greater Independent Monsters in target Threat by 2 points per card
Black Binding	Limited	Ltd802	Spell	Folk			-1												U	Target Ally must participate in any Combat this Round
Chant of Thoth	Limited	Ltd803	Spell	Folk			-1												U	Immediately Discard up to four cards and replace them with an equal number of new cards drawn from your Mythos Deck
Circles of Thaol	Limited	Ltd804	Spell	Water			-1												C	"Summon or Control a Lesser Independent Monster. If used while the Star Stone of Mnar is in play, you may summon or Control a Greater Independent as well"
Cloud Memory	Limited	Ltd805	Spell	Cthulhu			-1												C	Bury all Phobias affecting your Investigator
Curse of the Rat-Thing	Limited	Ltd806	Spell	Folk			-1												C	"Your opponent's Investigator is now also affected by all Phobias he or she has put in play, for the remainder of the Round"
Hands of Colubra	Limited	Ltd807	Spell	Folk			-1												C	Increase the value of one Ally by 2 points for the remainder of this Round
Keeness of Two Alike	Limited	Ltd808	Spell	Folk			-1												R	"Cast this spell upon an Ally in your Hand. Ally may be immediately played, even during Combat, but you must be legally able to play that Ally card in your current Region"
Nyhargo Dirge	Limited	Ltd809	Spell	Water			-1												C	ury one Living Dead Monster or Ally in opponent's Threat
Pipes of Madness	Limited	Ltd810	Spell	Folk			-1												U	During the Day; Bury opponent's 1 point Ally. At Night Bury opponent's Ally of up to 2 points. During the Full Moon Bury opponent's Ally of up to 3 points
Shrivelling	Limited	Ltd811	Spell	Water			-2												C	"Target Ally weakens and loses 2 points of value ta a 1 point minimum, until the end of Combat. Bury any Artifact held by that Ally"
Sign of Eibon	Limited	Ltd812	Spell	Folk			-2												C	Bury one random Monster card from one player's Threat
Sign of Kish	Limited	Ltd813	Spell	Water			-1												C	Reduce the attack of each Lesser Servitor in all Threats attacking your Investigator by 2 points
Voorish Sign	Limited	Ltd814	Spell	Folk			-1												R	"After casting, you may immediately transfer one or more Spells from one Tome to another, and from or to any Allies who can know a Spell. Spell icons for Tomes and Spells must match. Spells can not be transferred from or to your hand"
Wave of Oblivion	Limited	Ltd815	Spell	Water			-2												R	"Take the top card of your opponent's Story Deck and Discard it. If card revealed is not a Location, bury it. Repeat until a Location card is revealed. Ignore Sanity gain/loss; may use Gate"
Wrack	Limited	Ltd816	Spell	Folk			-1												C	Flip one Ally card face down
Book of Dzyan (English)	Limited	Ltd901	Tome	Water	English	1	-1												C	Can also find one Yellow Sign Spell in this Tome if Aldebaran Moves in the Sky is in play
Call of Cthulhu	Limited	Ltd902	Tome	Folk	English	1	-1												C	"""Re-roll your Investigator. As your turn and while a Waning Moon is in play, Bury this card (plus any spell) and exchange your Investigator Card for another. The Education value on the new card may not be the same as that of another Investigator already in play. Current Sanity points do not change"
Cthaat Aquadingen	Limited	Ltd903	Tome	Water	German	3	-2												R	"While this Tome is in play, increase the total value of your Threat by 1 point if Deep Ones, Father Dagon, or Mother Hydra are part of your Threat"
Cultes Des Goules	Limited	Ltd904	Tome	"Folk, Skull"	French	2	-2												C	"While this Tome is in play, increase the total value of your Threat by 1 point if any Living Dead are a part of it"
King in Yellow (English)	Limited	Ltd905	Tome	Folk	English	1	-1												C	
King in Yellow (French)	Limited	Ltd906	Tome	"Yellow Sign, Water"	French	2	-2												R	
Nameless Cults Bridewell Ed	Limited	Ltd907	Tome	Folk	English	2	-1												C	
Necronomicon Dee Ed.	Limited	Ltd908	Tome	"Cthulhu, Eye"	English	1	-1												C	
Ponape Scripture Hoag Ms	Limited	Ltd909	Tome	"Folk, Water"	English	1	-1												C	
Seven Cryptical Books of H'san (English)	Limited	Ltd910	Tome	"Folk, Yellow Sign"	English	1	-1												U	
Unaussprechlichen Kulten	Limited	Ltd911	Tome	"Folk, Skull"	German	3	-2												C	"While this Tome is in play and if your Threat includes Living Dead, increase the value of your Threat by one"
