Name	Set	Image	Type	Attributes	       Languages	Value	Sanity	Summon	Unique	Dimension	Past	Region	City	Dimension	Beginning Sanity	Max Sanity	Education	Hand Size	Minuimum	Maximum	Text
Office of Dr. Hill	Movieland	Movie514	Location	"Water, Forest, Inside, City, Sanitarium"			5		Unique	Movieland		New York	New York								"Gain five sanity now, but flip the top card of your mythos deck.  Apply the sanity gain or loss.  You may remain here to bury a phobia."
Office of Dr. Sapirstein	Movieland	Movie515	Location	"Water, Forest, Inside, Gate, City, Tome"			-1			Movieland		New York	New York								"You may reuse this gate but you must pay one sanity each time reused.  If you have Dr. Sapirstein in play, You may remain to bury a phobia."
Pay Phone	Movieland	Movie516	Location	"Water, Forest, Outside, City"						Movieland		New York	New York								Remain here for a turn to bury a phobia.
Saint Bernadette School For Girls	Movieland	Movie517	Location	"Water, Forest, Inside, Country, Church, Artifact, Tome"			-1			Dreamlands		The East	Omaha								Add one to all Nuns and Priests you have in play while this is your current location.
Saint Vincents' Hospital	Movieland	Movie518	Location	"Water, Forest, Inside, Cemetary, City, Sanitarium"			5		Unique	Movieland		New York	New York								Group therapy.  Gain five sanity but you must discard one random card from your hand.  Remain here for a turn to bury a phobia.
Tch-Kuloo's Igloo	Movieland	Movie519	Location	"Water, Forest, Inside, Gate, Alaska, Country, Artifact, Tome"			1			Movieland		Alaska	Nome								"You may use this gate to recover an event card from your Story Deck back to your hand.  While at this location, you may bury Tch-Kuloo Instead of using the gate to get an event back in this way."
Temple of Pain	Movieland	Movie520	Location	"Water, Inside, Cemetary, Japan, City, Site, Artifact, Tome"			-2		Unique	Movieland		Japan	Tokyo								One of your Allies in play must speak Japanese to play this card.  You may reuse this gate at no sanity cost.  Remain here for a turn to redirect a Phobia affecting your investigator to another player.
The Basement of The Bradford	Movieland	Movie521	Location	"Water, Forest, Inside, Cemetary, Gate, City, Underground"			-1		Unique	Movieland		New York	New York								"If you have Baby's Blood & Flesh in play, being at this location fulfills the Site requirement for playing The Devil."
The Bedroom of Apt. 7-E of The Bradford	Movieland	Movie522	Location	"Water, Forest, Inside, Gate, City"			1		Unique	Movieland		New York	New York								You may use the gate to walk to The Bedroom of Apt 7-E in the Dreamlands while this is your current location.
The Bedroom of APT. 7-E of The Bradford	Movieland	Movie523	Location	"Water, Forest, Inside, Gate, Dreamlands, City"			-1			Dreamlands		New York 	New York								You may walk to the Bedroom of Apt. 7-E in Movieland while this is your current location.
The Bradford Front Sidewalk	Movieland	Movie524	Location	"Water, Forest, Outside, City"						Movieland		New York	New York								"It is at this location, that both Adrian Mercato and Theresa Genofrio met their demise."
The Lobby of The Bradford	Movieland	Movie525	Location	"Water, Forest, Inside, City"						Movieland		New York	New York								"While this is your current location, opponents cannot play phobias on you.  Remain here to bury a phobia."
The Mental Hospital	Movieland	Movie526	Location	"Water, Forest, Inside, Gate, City, Sanitarium"			7		Unique	Movieland		New York	New York								Isolation.  Gain seven sanity but you must remain here for two turns in Isolation (Playing no cards and not passing).  You may not bury phobia's at this location.
The Roof	Movieland	Movie527	Location	"Water, Forest, Outside, Gate, City, Site, Artifact"			-1			Movieland		New York	New York								You must use a Monster as a Travel By Air or The Elevator Of The Bradford to play this location.  May reuse gate but pay one Sanity each time.
The Sistine Chapel	Movieland	Movie528	Location	"Water, Inside, Gate, Country, Ruins, Church"			1			Dreamlands		Mediterranian	Italy								Add one to all Nuns and Priests you have in play while this is your current location.  Remain here to bury a Phobia.
The Study of Apt 7-D of The Bradford	Movieland	Movie529	Location	"Water, Forest, Inside, City, Artifact, Tome"			-1		Unique	Movieland		New York	New York								"If you have Roman Castevet in play, you may flip him to walk to, on a following turn, a new location in a different region.  ""Name a place, and I've been there.  Go ahead, name a place."" - Roman Castevet"
Time-Life Building	Movieland	Movie530	Location	"Water, Forest, Outside, City, Artifact"						Movieland		New York   	New York								One of the easiest places to rendez-vous in New York CIty.  You might even run into a friend by coincidence.
U.S. Naval Installation	Movieland	Movie531	Location	"Water, Forest, Inside, Gate, Alaska, Country, Artifact"			1			Movieland		Alaska	Sitka								"User this gate to play an artifact, or monster from any dimension.  This gate is reusable but pay two sanity every time it is reused.  Artifacts normally found in Exotic Locations may not be played here unless you have an unflipped Dreamer, in play, along-side your investigator"
Yankee Stadium	Movieland	Movie532	Location	"Water, Forest, Outside, Gate, City, Business"			-1			Movieland		New York New York									"When this becomes your current location you may immediately use this gate to play monsters, or during the Day user this gate to play The Pope as an Ally."
Abomination	Movieland	Movie701	Monster	Greater Independent		6	-2			Movieland											"When revealed, Bury All defending Priests and Nuns."
Bad Aura	Movieland	Movie702	Monster	Lesser Servitor		1	0														This monster may be assigned to an ally instead of being placed face down in your threat.  Add Bad Aura's value to that Ally.
Bursting Accumulations Of Blasphemy	Movieland	Movie703	Monster	Lesser Independent		2	-1			Movieland											Oppoent must Discard one random Story Deck card for each Bursting Accumulations of Blasphemy that survives the Comic Battle. Does not affect opponents' current Location. Discard this card after combat. Joins Bursting Accumulations.
Embodiment Of Ill Will	Movieland	Movie704	Monster	Greater Servitor		2	-2		Unique												Add Two to the Value of this Card for each Ally you know that is a Corrupt Cultist.
Fallen Angels	Movieland	Movie705	Monster	Greater Servitor		3	-1														"Add one to the Value of this card if you have Baby's Blood & Flesh in play, OR Add two to the value of this card if you have Baby's Blood & Flesh in Play while it is Night. Joins Fallen Angels."
Ghost of Mrs. Gardenia	Movieland	Movie706	Monster	Living Dead	Invisible	3	-1		Unique	Movieland											Discard this card when revealed if there is Mrs. Gardenia in Play. Add one to the Value of this card if you have Tanis Root in play.  Bypasses Cosmic Battle. Joins Living Dead.
Ghost Of Theresa Genofrio	Movieland	Movie707	Monster	Living Dead	Invisible	3			Unique	Movieland											Discard this card when revealed if there is Theresa Genofrio in Play.  Bypasses Cosmic Battle. Joins Living Dead.
Mr. Wang's Want	Movieland	Movie708	Monster	Living Dead		2	0		Unique	Movieland											"Invisible during Night.  If you have Mr. Wang in play, add two to the value of this card.  When revealed, flip all defending female allies."
Rabid Mice	Movieland	Movie709	Monster	Lesser Independent		1															"If Rabid Mice survive to affect Opponents' Investigator or Allies, Randomly choose and Bury one of those Allies, defending or not, unless the Ally is protected from Epidemics."
Rosemary's Baby	Movieland	Movie710	Monster	"Greater Servitor, Corrupt Baby"		0	1		Unique	Movieland											"Use a gate to play this monster as an Ally and assign it to one of your Female Allies. If one or the other leaves play, the other suffers the same fate. While this card is in play, all Covenists' are raised by one point."
Shadow	Movieland	Movie711	Monster	Lesser Independent		2	0														Bury this card when revealed if it is Night or if it is High Noon.  Add one to the value of this card during the Day.  Add two to the value of this card during Direct Sunlight.  Joins Shadows.
The Devil	Movieland	Movie712	Monster	Great Old One	"Site, Unspeakable Darkness, Baby's Blood & Flesh"																Investigators may use a turn to pay any amount of Sanity to draw that amount of cards from the top of their Mythos Deck. No Investigator may gain Sanity.
Unimaginable Apparition	Movieland	Movie713	Monster	Lesser Servitor		0	-1														"When revealed, Bury one random Defending Ally."
Vortex Of Pain	Movieland	Movie714	Monster	Greater Independent		6	-2		Unique												"When revealed, opponent to which this is directed may pay two sanity to redirect the Vortex Of Pain to another opponent.  That opponent may also pay two sanity to redirect the Vortex Of Pain again, and so on."
A Terrible Thing To Do	Movieland	Movie801	Spell	Yellow Sign			-2														"Opponent must Bury a random Tome. If that tome has a red sanity pentagram, the opponent may save the tome by paying the Sanity Cost."
Chant Of Cursed Resolve	Movieland	Movie802	Spell	Folk			-1														"Until the beginning of the next round, cancel the affects of cards played by opponents that affect the top card of your Story Deck."
Chant Of Ill Doing	Movieland	Movie803	Spell	Folk			-1														One random Opponent must Bury one random Ally. If you have Baby's Blood & Flesh in play you may gain Sanity equal to that Ally's value.
Conjure Up The Living Devil	Movieland	Movie804	Spell	Death			-1														"Use a Gate to play a Monster as an Ally. If you have Baby's Blood & Flesh in play, Use a Gate to play The Devil, regardless of Site requirement. (Must still have Unspeakable Darkness)"
Consume Life & Being	Movieland	Movie805	Spell	Yellow Sign			-1														Discard three cards at random from your Story Deck while Unspeakable Darkness is in play and gain four sanity.
Create Confusion	Movieland	Movie806	Spell	Eye  			-2														"Even if walking, a random opponent places a random Travel or Location card from their Story Deck into play as their curent location.  Ignore sanity gain or loss, may use Gate."
Create Driven Killer	Movieland	Movie807	Spell	Folk			-1														"Choose one of your allies at random.  One opponent of your choice suffers an attack equal to that allie's value, without weapons.  Discard that ally after casting this spell."
Demonic Insemination	Movieland	Movie808	Spell	Dreamlands			-1		Unique												Cast only on a Female Ally. Remove a Monster from your Threat and place it beneath one Ally. Monster functions as an Enchanted Weapon and adds it's Value to that Ally.
Devil On Your Shoulder	Movieland	Movie809	Spell	Skull			-1														"Opponent must use the unused gate before leaving their curent location or suffer a loss of two sanity.  If the gate has been used or if there is no gate, do not cast."
Dietary Experiments	Movieland	Movie810	Spell	Yellow sign			-3														"Choose one of Opponents' Allies lacking the Dreamer Attribute. Opponent must Bury that Ally. If you have the Trench Sisters in play you may also gain 2 Sanity. If you have Baby's Blood & Flesh in play, you may draw a card."
Oath Of The Coven	Movieland	Movie811	Spell	Death			-1														Return one Covenist from your Story Deck to play alongside your Investigator. Ally my block even if cast during Combat. Bury Ally at the end of Combat.
Truth Extraction	Movieland	Movie812	Spell	Folk			-1														Draw a Card from the top of your Mythos Deck and Draw a Card from the bottom of your Mythos Deck.
All Of Them Witches	Movieland	Movie901	Tome	Folk	English	1				Movieland											"Published in 1933, J.R. Hewitt reveals various witches throughout history that have been known to perform rituals and worship demi-gods."
Book With No Name	Movieland	Movie902	Tome	Yellow Sign	Chinese	1															"Rumoured to be a very special copy of the original plates which make up the Book Of Dzyan.  It is never revealed fully to the audience, and probably never should be."
Luther	Movieland	Movie903	Tome	"Death, Eye"	English	1	-2		Unique	Movieland											"If you have an Author in play you may bury the current unflipped Spell in this Tome to play a new Spell in this tome, that features the appropriate Spell Icon"
Mrs Gardenia's Diary	Movieland	Movie904	Tome	"Dreamlands, Folk, Yellow Sign"	English	1	-1			Dreamlands											May hold two Additional Spells when you have Baby's Blood & Flesh in play. Spells remain if Baby's Blood & Flesh leaves play.
Nobody Loves An Albatros	Movieland	Movie905	Tome	"Eye, Folk"	English	1	-2		Unique	Movieland											If you have an Author in play you may bury the current unflipped Spell in this Tome to play a new Spell in this tome that features the appropriate Spell Icon.
Scrolls Of Dimension	Movieland	Movie906	Tome	Death	latin	1	-1			Dreamlands											"Flip this card to give the past attribute to your current location. You must spend a turn to flip this tome and end the effect before travelling.  The book given to Rosemary Woodhouse, published in 1933, was somehow dedicated by Hutch in 1924.  It is apparent now that Hutch was a time traveller."
Witchcraft Book Of Ceremonial Magic	Movieland	Movie907	Tome	Folk 	English	1	-1			Movieland											May also hold one Skull Icon Spell when you have Stella Lauden in Play. Spell Remains even if Stella Lauden leaves play.
